ZTSJ6537120: 48.682.994/3446-75<->74.191.138/6225-74
961: 1245796174kg (926429746%)
GBGZ2742878: 13919kg (93%)
WNEJ9446051: 15314kg (127%)
WDRU6195292: 12797kg (103%)
864: 1246054996kg (959984178%)
864: 1246054996kg (959984178%)
GTKJ0097030: 1246253144kg (825831990%)
MLCJ6448571: 9875kg (50%)
BVBU0499435: 15141kg (105%)
CHPZ1497754: 11700kg (113%)
AXVZ9665571: 18291kg (180%)
BOMZ7881543: 12441kg (55%)
GYEZ2023163: 16858kg (165%)
GYEZ2023163: 16858kg (165%)
FNMZ0469494: 17732kg (176%)
UHNZ2265136: 15509kg (120%)
SRWZ3101969: 16707kg (154%)
IYZZ6094949: 5078kg (41%)
7571280: 1431520080kg (959984695%)
7571280: 1431520080kg (959984695%)
JFMU5115169: 15335kg (137%)
JFMU5115169: 15335kg (137%)
VNGZ0423915: 17018kg (138%)
AUDU4399159: 12426kg (76%)
IYZZ6094949: 5078kg (41%)
SRWZ3101969: 16707kg (154%)
IYZZ6094949: 5078kg (41%)
7571280: 1431520080kg (959984695%)
7571280: 1431520080kg (959984695%)
IYZZ6094949: 5078kg (41%)
SRWZ3101969: 16707kg (154%)
IYZZ6094949: 5078kg (41%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
0578639: 842086456kg (3160373%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
8971808: 1430801745kg (959985201%)
KGTJ8971808: 10893kg (51%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
KGTJ8971808: 10893kg (51%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
0578639: 842086456kg (3160373%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
0578639: 842086456kg (3160373%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
8971808: 1430801745kg (959985201%)
KGTJ8971808: 10893kg (51%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
KGTJ8971808: 10893kg (51%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
0578639: 842086456kg (3160373%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
0578639: 842086456kg (3160373%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
017: 959985460kg (3750195%)
VQFJ2620017: 8862kg (81%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
4792958: 1515081553kg (960051506%)
8971808: 1430801745kg (959985201%)
KGTJ8971808: 10893kg (51%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
KGTJ8971808: 10893kg (51%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
RGXJ4871591: 14250kg (100%)
8971808: 1430801745kg (959985201%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
3334598: 1431130692kg (909456695%)
OBKJ2777623: 9420kg (54%)
VHHZ6257191: 13893kg (122%)
VHHZ6257191: 13893kg (122%)
VQFJ2620017: 8862kg (81%)
VQFJ2620017: 8862kg (81%)
LXZU3834946: 15036kg (133%)
LXZU3834946: 15036kg (133%)
QFKJ5173000: 8171kg (74%)
XNZJ7014009: 15745kg (58%)
PAQJ0733790: 19188kg (65%)
PAQJ0733790: 19188kg (65%)
790: 1514752088kg (808726583%)
GVGZ6673015: 8200kg (40%)
4792958: 1515081553kg (960051506%)
